sp,taxo,group_kernels,group_detection,group_atlas
Ring-necked Pheasant,1324,,,
Ring-necked Pheasant,1325,,,
Silver Pheasant,1339,,,
pheasant sp.,1394,,,
Gray Partridge,1397,,,
Ruffed Grouse,1443,,,
Greater Sage-Grouse,1458,,,
Spruce Grouse,1461,,,
Spruce Grouse,1462,,,
Spruce Grouse,1468,,,
Ruffed/Spruce Grouse,1468.5,,,
Willow Ptarmigan,1469,,,
Willow Ptarmigan,1470,,,
Willow Ptarmigan,1471,,,
Rock Ptarmigan,1490,,,
White-tailed Ptarmigan,1522,,,
ptarmigan sp.,1528,,,
Dusky Grouse,1529,,,
Sooty Grouse,1534,,,
Dusky/Sooty Grouse,1539,,,
Sharp-tailed Grouse,1541,,,
Greater Prairie-Chicken,1548,,,
Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid),1551.5,,,
grouse sp.,1552.7,,,
Wild Turkey,1553,,,
Wild Turkey (Domestic type),1559.5,,,
Red-throated Loon,1561,waterfowl_diving,Waterfowl,Diving Waterfowl
Arctic Loon,1562,waterfowl_diving,Waterfowl,Diving Waterfowl
Pacific Loon,1565,waterfowl_diving,Waterfowl,Diving Waterfowl
Arctic/Pacific Loon,1566,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Loon,1567,waterfowl_diving,Waterfowl,Diving Waterfowl
Yellow-billed Loon,1568,waterfowl_diving,Waterfowl,Diving Waterfowl
Common/Yellow-billed Loon,1569,waterfowl_diving,Waterfowl,Diving Waterfowl
loon sp.,1570,waterfowl_diving,Waterfowl,Diving Waterfowl
Pied-billed Grebe,1601,waterfowl_diving,Waterfowl,Diving Waterfowl
Horned Grebe,1611,waterfowl_diving,Waterfowl,Diving Waterfowl
Red-necked Grebe,1614,waterfowl_diving,Waterfowl,Diving Waterfowl
Eared Grebe,1621,waterfowl_diving,Waterfowl,Diving Waterfowl
Horned/Eared Grebe,1625,waterfowl_diving,Waterfowl,Diving Waterfowl
Podiceps sp.,1632,waterfowl_diving,Waterfowl,Diving Waterfowl
Western Grebe,1633,waterfowl_diving,Waterfowl,Diving Waterfowl
Clark's Grebe,1637,waterfowl_diving,Waterfowl,Diving Waterfowl
Western x Clark's Grebe (hybrid),1639.5,waterfowl_diving,Waterfowl,Diving Waterfowl
Western/Clark's Grebe,1640,waterfowl_diving,Waterfowl,Diving Waterfowl
grebe sp.,1641,waterfowl_diving,Waterfowl,Diving Waterfowl
American Flamingo,1642,shorebirds_waders,,
Greater Flamingo,1643,shorebirds_waders,,
flamingo sp.,1649,shorebirds_waders,,
Yellow-nosed Albatross,1682,seabirds_pelagics,,
Black-browed Albatross,1692,seabirds_pelagics,,
Laysan Albatross,1709,seabirds_pelagics,,
Black-footed Albatross,1711,seabirds_pelagics,,
Short-tailed Albatross,1712,seabirds_pelagics,,
Northern Fulmar,1716,seabirds_pelagics,Fulmars,Fulmars
Northern Fulmar,1717,seabirds_pelagics,Fulmars,Fulmars
Northern Fulmar,1719,seabirds_pelagics,Fulmars,Fulmars
Murphy's Petrel,1739,seabirds_pelagics,Shearwaters,Shearwaters
Fea's Petrel,1743,seabirds_pelagics,Shearwaters,Shearwaters
Mottled Petrel,1755,seabirds_pelagics,Shearwaters,Shearwaters
Bermuda Petrel,1756,seabirds_pelagics,Shearwaters,Shearwaters
Black-capped Petrel,1757,seabirds_pelagics,Shearwaters,Shearwaters
Black-capped Petrel,1758,seabirds_pelagics,Shearwaters,Shearwaters
Hawaiian Petrel,1763,seabirds_pelagics,Shearwaters,Shearwaters
Cook's Petrel,1769,seabirds_pelagics,Shearwaters,Shearwaters
Pterodroma sp.,1780,seabirds_pelagics,Shearwaters,Shearwaters
Cory's Shearwater,1806,seabirds_pelagics,Shearwaters,Shearwaters
Cory's Shearwater,1807,seabirds_pelagics,Shearwaters,Shearwaters
Cory's Shearwater,1808,seabirds_pelagics,Shearwaters,Shearwaters
Pink-footed Shearwater,1810,seabirds_pelagics,Shearwaters,Shearwaters
Flesh-footed Shearwater,1811,seabirds_pelagics,Shearwaters,Shearwaters
Great Shearwater,1812,seabirds_pelagics,Shearwaters,Shearwaters
Cory's/Great Shearwater,1813,seabirds_pelagics,Shearwaters,Shearwaters
Buller's Shearwater,1815,seabirds_pelagics,Shearwaters,Shearwaters
Sooty Shearwater,1816,seabirds_pelagics,Shearwaters,Shearwaters
Short-tailed Shearwater,1817,seabirds_pelagics,Shearwaters,Shearwaters
